Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-01-01,97.9467,101.2146,11408.197854,75.99,0.07,-1.0,21566.1,93.94,67.2
2022-01-02,97.9467,101.2146,11408.197854,75.99,0.07,-1.0,21566.1,93.94,67.2
2022-01-03,97.9467,101.2146,11408.197854,75.99,0.08,-1.0,21566.1,93.94,67.2
2022-01-04,97.9467,101.2146,11408.197854,77.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-05,97.9467,101.2146,11408.197854,77.83,0.08,-1.0,21566.1,93.94,67.2
2022-01-06,97.9467,101.2146,11408.197854,79.47,0.08,-1.0,21566.1,93.94,67.2
2022-01-07,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-08,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-09,97.9467,101.2146,11408.197854,79.0,0.08,-1.0,21566.1,93.94,67.2
2022-01-10,97.9467,101.2146,11408.197854,78.11,0.08,-1.0,21566.1,93.94,67.2
2022-01-11,97.9467,101.2146,11408.197854,81.17,0.08,-1.0,21566.1,93.94,67.2
2022-01-12,97.9467,101.2146,11408.197854,82.51,0.08,-1.0,21566.1,93.94,67.2
2022-01-13,97.9467,101.2146,11408.197854,81.97,0.08,-1.0,21566.1,93.94,67.2
2022-01-14,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-15,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-16,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-17,97.9467,101.2146,11408.197854,83.82,0.08,-1.0,21566.1,93.94,67.2
2022-01-18,97.9467,101.2146,11408.197854,85.42,0.08,-1.0,21566.1,93.94,67.2
2022-01-19,97.9467,101.2146,11408.197854,86.84,0.08,-1.0,21566.1,93.94,67.2
2022-01-20,97.9467,101.2146,11408.197854,86.29,0.08,-1.0,21566.1,93.94,67.2
2022-01-21,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-22,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-23,97.9467,101.2146,11408.197854,85.16,0.08,-1.0,21566.1,93.94,67.2
2022-01-24,97.9467,101.2146,11408.197854,84.48,0.08,-1.0,21566.1,93.94,67.2
2022-01-25,97.9467,101.2146,11408.197854,86.61,0.08,-1.0,21566.1,93.94,67.2
2022-01-26,97.9467,101.2146,11408.197854,88.33,0.08,-1.0,21566.1,93.94,67.2
2022-01-27,97.9467,101.2146,11408.197854,87.61,0.08,-1.0,21566.1,93.94,67.2
