time_published,ticker_sentiment_score,ticker_sentiment_label
20220310T165948,-0.409843,Bearish
20220314T202133,0.000167,Neutral
20220315T102007,0.000752,Neutral
20220315T133139,0.00016,Neutral
20220318T120000,0.012921,Neutral
20220318T145559,0.00061,Neutral
20220321T133100,0.046068,Neutral
20220321T163205,-0.017544,Neutral
20220322T174250,-0.052336,Neutral
20220324T191831,-0.010748,Neutral
20220328T150252,-0.19567,Somewhat-Bearish
20220331T232127,-0.000248,Neutral
20220401T093000,-0.041243,Neutral
20220404T201800,0.025792,Neutral
20220407T202152,0.001517,Neutral
20220408T205500,0.065596,Neutral
20220418T161100,-2.3e-05,Neutral
20220421T100000,0.00106,Neutral
20220421T110000,-0.456547,Bearish
20220424T125328,0.009981,Neutral
20220425T125400,0.087561,Neutral
20220426T083447,-0.000167,Neutral
20220426T160100,0.00232,Neutral
20220426T215821,0.000327,Neutral
20220427T021641,0.013599,Neutral
20220427T021641,0.019403,Neutral
20220427T093305,-0.002857,Neutral
20220427T114600,0.048449,Neutral
20220427T155100,-0.050957,Neutral
20220427T160908,-0.179359,Somewhat-Bearish
20220427T172401,-0.270318,Somewhat-Bearish
20220428T081736,-0.007552,Neutral
20220429T155900,0.13871,Neutral
20220504T050641,-0.005338,Neutral
20220504T053843,-0.001932,Neutral
20220504T084841,0.029531,Neutral
20220505T140258,0.001453,Neutral
20220505T181150,-0.064794,Neutral
20220505T200500,0.001614,Neutral
20220510T145326,0.032532,Neutral
20220510T183400,0.000173,Neutral
20220512T051241,0.006392,Neutral
20220512T101500,0.000799,Neutral
20220513T093000,0.076259,Neutral
20220513T192836,0.000185,Neutral
20220514T064041,0.055443,Neutral
20220519T093000,-0.158083,Somewhat-Bearish
20220523T205800,-0.003212,Neutral
20220531T022042,-0.017761,Neutral
20220531T191754,0.009154,Neutral
20220601T123000,0.007376,Neutral
20220604T021443,-0.051389,Neutral
20220604T021452,-0.022845,Neutral
20220609T021842,0.005523,Neutral
20220609T051252,0.028205,Neutral
20220611T021849,-0.022599,Neutral
20220611T021856,0.001422,Neutral
20220613T161842,-0.000213,Neutral
20220613T162339,-0.292976,Somewhat-Bearish
20220616T063308,-0.007035,Neutral
20220616T063308,-0.014934,Neutral
20220616T063308,-0.012124,Neutral
20220616T063308,-0.458793,Bearish
20220616T075041,0.018884,Neutral
20220616T141500,-0.008491,Neutral
20220616T151048,-0.033633,Neutral
20220617T051042,0.023282,Neutral
20220617T193200,-0.060728,Neutral
20220623T203000,0.13996,Neutral
20220624T151300,-0.120064,Neutral
20220625T100243,-0.003684,Neutral
20220628T135600,-0.124863,Neutral
20220629T161158,-0.292976,Somewhat-Bearish
20220706T150400,-0.03323,Neutral
20220707T181020,-0.004816,Neutral
20220712T180900,-0.312464,Somewhat-Bearish
20220713T115300,0.098749,Neutral
20220713T144230,0.258777,Somewhat-Bullish
20220714T135000,0.122941,Neutral
20220715T122400,0.101644,Neutral
20220717T073057,0.040738,Neutral
20220717T073103,0.066077,Neutral
20220718T050322,0.0,Neutral
20220718T201600,0.142344,Neutral
20220719T115000,0.298981,Somewhat-Bullish
20220719T141453,0.067174,Neutral
20220720T030641,0.00993,Neutral
20220721T024359,0.0,Neutral
20220721T194412,0.343654,Somewhat-Bullish
20220721T212506,-0.12268,Neutral
20220722T073444,0.023191,Neutral
20220722T112000,0.163614,Somewhat-Bullish
20220722T140209,0.0,Neutral
20220722T170951,0.060846,Neutral
20220723T053441,0.086036,Neutral
20220723T155514,0.034,Neutral
20220725T121453,0.01461,Neutral
20220726T113600,0.060964,Neutral
20220727T190649,0.033105,Neutral
20220728T190557,0.342661,Somewhat-Bullish
20220729T072242,-0.008004,Neutral
20220730T062841,0.119191,Neutral
20220730T062850,0.121168,Neutral
20220731T061842,0.082002,Neutral
20220802T064443,0.101985,Neutral
20220802T084644,0.039991,Neutral
20220802T093000,0.30421,Somewhat-Bullish
20220802T110043,0.270798,Somewhat-Bullish
20220803T150300,0.06655,Neutral
20220804T090045,0.227231,Somewhat-Bullish
20220804T174544,0.156324,Somewhat-Bullish
20220805T061842,0.076011,Neutral
20220805T061842,0.031235,Neutral
20220805T061842,0.031258,Neutral
20220806T061845,0.06699,Neutral
20220807T133042,0.007977,Neutral
20220809T052241,0.075043,Neutral
20220809T100442,-0.009968,Neutral
20220809T100642,0.039698,Neutral
20220809T114132,0.605342,Bullish
20220810T063642,-0.016,Neutral
20220810T084241,0.046278,Neutral
20220811T205706,0.152702,Somewhat-Bullish
20220812T054044,-0.025969,Neutral
20220812T124600,-0.003651,Neutral
20220812T151432,0.033105,Neutral
20220816T061445,0.096627,Neutral
20220816T095000,-0.387705,Bearish
20220817T062441,0.017993,Neutral
20220817T083041,0.001,Neutral
20220817T170600,-0.061554,Neutral
20220818T052242,0.030064,Neutral
20220818T114700,0.089569,Neutral
20220819T061442,-0.003004,Neutral
20220820T061043,0.109,Neutral
20220820T095846,0.015384,Neutral
20220821T053442,0.013525,Neutral
20220822T122252,-0.340703,Somewhat-Bearish
20220825T061241,0.073157,Neutral
20220827T061042,0.088335,Neutral
20220827T061047,0.088335,Neutral
20220830T064248,0.063154,Neutral
20220901T144248,0.094779,Neutral
20220905T143521,0.221112,Somewhat-Bullish
20220907T051842,0.030002,Neutral
20220907T053000,0.131819,Neutral
20220907T131000,0.048809,Neutral
20220907T200122,0.16362,Somewhat-Bullish
20220908T074444,0.015015,Neutral
20220909T094500,0.043274,Neutral
20220912T060241,-0.035985,Neutral
20220912T163759,0.056714,Neutral
20220915T152237,0.244858,Somewhat-Bullish
20220915T195831,0.16362,Somewhat-Bullish
20220916T160645,0.015093,Neutral
20220917T081450,0.044005,Neutral
20220917T081451,-0.004002,Neutral
20220918T054442,0.077003,Neutral
20220921T072924,-0.025964,Neutral
20220922T074658,-0.004,Neutral
