level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,delinquency_rate_mom,personal_savings_rate_mom,gdp_growth_mom,cpi_mom,revolving_credit_mom,consumer_sentiment_mom,housing_starts_mom,retail_sales_mom,daily_sentiment_score
0,0,2022-03-01,133.00485229492188,0.0,134.20555707934938,0.0,0.0,133.00485229492188,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
1,1,2022-03-02,133.49647521972656,0.0036894636665374624,134.3662764261893,0.0,0.0,133.09423828125,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
2,2,2022-03-03,130.9626922607422,-0.01916258390574758,127.64419292254857,0.0,0.0,132.70668445933947,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
3,3,2022-03-04,126.80274963378906,-0.032279764160429616,125.26169748605916,0.0,0.0,131.63324176378484,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
4,4,2022-03-07,117.99124145507812,-0.07202232982318424,119.05958292894292,0.0,0.0,129.1528780712927,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
5,5,2022-03-08,119.20140075683594,0.010204109124049572,124.96859988238047,0.0,0.0,127.34351855957328,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
6,6,2022-03-09,124.71334075927734,0.04520332391881267,121.96209076344202,0.0,0.0,126.86530441406492,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
7,7,2022-03-10,123.1533432006836,-0.01258755821189698,124.28788852635608,0.0,0.0,126.19040237526832,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,-100.0
8,8,2022-03-11,122.99262237548828,-0.0013058986984395347,125.69658428623684,0.0,0.0,125.60898782985376,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
9,9,2022-03-14,126.37730407714844,0.02714753635249476,126.43403300288546,125.86960220336914,0.0,125.74868169299823,0.0,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
10,10,2022-03-15,126.944580078125,0.0044787046417826635,129.51616104898645,125.26357498168946,0.0,125.96611776302129,0.03241604110937269,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
11,11,2022-03-16,130.3197784423828,0.026240650307159902,124.86460271870452,124.94590530395507,0.0,126.7576924319961,0.03381590089497057,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
12,12,2022-03-17,130.04562377929688,-0.002105923153134645,126.71764467684368,124.85419845581055,0.0,127.35549813150533,0.03330320568443651,0.0,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
13,13,2022-03-18,130.6696014404297,0.004786669838699776,130.66015975862646,125.2408836364746,0.0,127.95806236949156,0.03140693985026168,46.42544999815484,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
14,14,2022-03-21,127.10530090332031,-0.02765612699129031,128.92055658140308,126.15228958129883,0.0,127.80301483018769,0.021060300758760576,41.858030148408744,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
15,15,2022-03-22,130.63180541992188,0.02736683638833852,129.30817675361416,127.29533004760742,0.0,128.31734039195754,0.021989366536556053,46.35205375376718,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
16,16,2022-03-23,126.67984771728516,-0.030719700706172658,127.83331965895209,127.4919807434082,0.0,128.019614451108,0.02125544708407748,44.73623360069074,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
17,17,2022-03-24,127.70095825195312,0.00802824737676611,128.66527069279294,127.94674224853516,0.0,127.96167696035256,0.020723426434740164,51.19622426791847,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,0.0
18,18,2022-03-25,128.46673583984375,0.005978738823289187,127.58746639390058,128.4941535949707,0.0,128.0535058475328,0.020658727882260537,67.7564253439308,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
19,19,2022-03-28,125.98021697998047,-0.01954511923532623,128.85438160844942,128.4544448852539,0.0,127.67654423525053,0.020206440487057626,61.01382751247328,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,-50.0
20,20,2022-03-29,128.28712463378906,0.01814602646202306,128.29656504466035,128.5886993408203,0.0,127.78755885316663,0.02101281175685617,56.48150633659284,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
21,21,2022-03-30,127.13367462158203,-0.009031824005758946,126.61365455684408,128.27008895874025,0.0,127.66867081106034,0.0191967795021899,57.32687722877731,0.0,-0.20000000000000018,0.0,0.0,0.0,0.7595878041007254,1.1322455564119815,-6.547619047619058,1.7523364485981352,1.0074002304226282,
22,22,2022-03-31,124.12713623046875,-0.02393275645208505,125.76276720218479,127.67824020385743,0.0,127.02475543277096,0.020355986350720882,51.89033001928428,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
23,23,2022-04-01,123.74897003173828,-0.0030512540948913268,123.82458241813754,126.98617706298828,0.0,126.42915808712866,0.02010122637479618,45.1330461674086,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
24,24,2022-04-04,124.48638916015625,0.005941307475336166,123.79624535374286,126.72428588867187,0.0,126.07592737313365,0.018737207767476012,45.47660723641761,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
25,25,2022-04-05,123.30461120605469,-0.009538578177807101,123.115540278712,125.99156646728515,0.0,125.57205170639202,0.015677003437076755,35.95762357246052,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
26,26,2022-04-06,122.22682189941406,-0.008779293271249764,122.94534174540017,125.54626388549805,0.0,124.9638281051233,0.013125274100633277,34.83681943489289,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
27,27,2022-04-07,122.25517272949219,0.00023192571091575577,123.29517147576358,125.00168533325196,0.0,124.471345309554,0.012579439352944914,33.2958021406411,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
28,28,2022-04-08,124.5715103149414,0.018769490875869016,124.75115443049799,124.61216278076172,0.0,124.48955712871533,0.014282293216916717,44.70773160177851,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,0.0
29,29,2022-04-11,124.0704345703125,-0.004030505980721394,123.76788487522039,124.42118453979492,126.24841054280598,124.41335302718754,0.013087556796649847,34.312831341212316,0.25,-0.19999999999999973,0.0,-0.8999999999999999,0.0,1.0606779482313256,2.078633704249322,-5.414012738853502,-3.6739380022962065,2.097546278219653,
