level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
0,0,2022-03-01,207.9667510986328,0.0,215.14489871200354,0.0,0.0,207.9667510986328,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,
1,1,2022-03-02,209.4601287841797,0.007155188747298844,209.46013442536315,0.0,0.0,208.23827431418675,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,
2,2,2022-03-03,203.84506225585938,-0.027173198650686414,203.79526491053818,0.0,0.0,207.43950848539995,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,25.0
3,3,2022-03-04,202.11273193359375,-0.008534585920859225,202.55080760678658,0.0,0.0,206.4710036577988,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,-10.0
4,4,2022-03-07,195.3627166748047,-0.033967704353508495,193.42133744154842,0.0,0.0,204.45131511543622,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,-12.5
5,5,2022-03-08,191.23106384277344,-0.021375461040999664,197.47336134043908,0.0,0.0,202.04763306586116,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
6,6,2022-03-09,202.26210021972656,0.05608192696446439,198.2200489292285,0.0,0.0,202.08662709383668,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,15.0
7,7,2022-03-10,199.26539611816406,-0.014926797142459763,203.8649763829631,0.0,0.0,201.57367600735074,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,24.999999999999996
8,8,2022-03-11,197.02532958984375,-0.011305287968856758,197.3638457408388,0.0,0.0,200.74670393144035,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,0.0
9,9,2022-03-14,192.26646423339844,-0.024450052646451108,197.65255334591004,200.07977447509765,0.0,199.20484216816,0.0,0.0,0.0,-0.20000000000000018,0.0,-6.4093186150640635,1.0473819910963522,0.0,-6.547619047619058,0.2545661941658395,0.6236254453408918,-16.666666666666664
