Date,interest_rate,unemployment_rate,cpi,revolving_credit,delinquency_rate,personal_savings_rate,gdp_growth,consumer_sentiment,housing_starts,retail_sales
2022-01-01,0.07,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-02,0.07,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-03,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-04,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-05,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-06,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-07,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-08,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-09,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-10,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-11,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-12,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-13,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-14,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-15,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-16,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-17,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-18,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-19,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-20,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-21,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-22,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-23,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-24,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-25,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-26,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-27,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-28,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-29,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-30,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-01-31,0.08,4.0,282.39,1062.68909,1.67,3.6,-1.0,67.2,1712.0,644034.0
2022-02-01,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-02,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-03,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-04,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-05,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-06,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-07,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-08,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-09,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-10,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-11,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-12,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-13,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-14,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-15,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-16,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-17,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-18,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-19,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-20,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-21,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-22,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-23,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-24,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-25,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-26,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-27,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-02-28,0.08,3.8,284.535,1074.72134,1.67,3.6,-1.0,62.8,1742.0,650522.0
2022-03-01,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-02,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-03,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-04,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-05,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-06,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-07,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-08,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-09,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-10,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-11,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-12,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-13,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-14,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-15,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-16,0.08,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-17,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-18,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-19,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-20,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-21,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-22,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-23,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-24,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-25,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-26,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-27,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-28,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-29,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-30,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-03-31,0.33,3.6,287.553,1097.06086,1.67,2.7,-1.0,59.4,1678.0,664167.0
2022-04-01,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-02,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-03,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-04,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-05,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-06,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-07,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-08,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-09,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-10,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-11,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-12,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-13,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-14,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-15,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-16,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-17,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-18,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-19,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-20,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-21,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-22,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-23,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-24,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-25,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-26,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-27,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-28,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-29,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-04-30,0.33,3.7,288.764,1109.66181,1.84,2.2,0.3,65.2,1828.0,673245.0
2022-05-01,0.33,3.6,291.359,1118.89351,1.84,2.3,0.3,58.4,1540.0,671040.0
2022-05-02,0.33,3.6,291.359,1118.89351,1.84,2.3,0.3,58.4,1540.0,671040.0
2022-05-03,0.33,3.6,291.359,1118.89351,1.84,2.3,0.3,58.4,1540.0,671040.0
2022-05-04,0.33,3.6,291.359,1118.89351,1.84,2.3,0.3,58.4,1540.0,671040.0
2022-05-05,0.83,3.6,291.359,1118.89351,1.84,2.3,0.3,58.4,1540.0,671040.0
