Date,vehicle_sales,industrial_production,consumer_spending,retail_sales_vehicles,crude_oil_prices,interest_rate,gdp_growth,unemployment_rate,consumer_sentiment
2022-02-01,14.168,101.8458,17175.105,116674.0,88.22,0.08,-1.0,3.8,62.8
2022-03-01,14.253,102.6732,17175.105,139701.0,103.66,0.08,-1.0,3.6,59.4
2022-04-01,14.681,102.9024,17603.753,136612.0,99.32,0.33,0.3,3.7,65.2
2022-05-01,13.286,102.9659,17603.753,131300.0,99.32,0.33,0.3,3.6,58.4
2022-06-01,13.669,102.8224,17603.753,131679.0,115.26,0.83,0.3,3.6,50.0
2022-07-01,13.867,103.0505,17876.234,126681.0,110.3,1.58,2.7,3.5,51.5
2022-08-01,14.064,103.1703,17876.234,135145.0,96.59,2.33,2.7,3.6,58.2
2022-09-01,14.136,103.5326,17876.234,124441.0,87.09,2.33,2.7,3.5,58.6
2022-10-01,15.091,103.4442,18108.27,125889.0,87.09,3.08,3.4,3.6,59.9
2022-11-01,14.733,103.1058,18108.27,117067.0,88.36,3.08,3.4,3.6,56.7
2022-12-01,13.935,101.8266,18108.27,122488.0,81.06,3.83,3.4,3.5,59.8
2023-01-01,15.665,102.7476,18506.211,117343.0,81.06,4.33,2.8,3.4,64.9
2023-02-01,15.434,102.8003,18506.211,118206.0,76.34,4.33,2.8,3.6,66.9
2023-03-01,15.668,102.8143,18506.211,140983.0,77.57,4.58,2.8,3.5,62.0
2023-04-01,16.446,103.2241,18685.724,132880.0,77.57,4.83,2.4,3.4,63.7
2023-05-01,15.948,102.9809,18685.724,142210.0,75.65,4.83,2.4,3.7,59.0
2023-06-01,16.428,102.3809,18685.724,139169.0,70.09,5.08,2.4,3.6,64.2
2023-07-01,16.302,103.0722,18928.987,134702.0,70.09,5.08,4.4,3.5,71.5
2023-08-01,15.909,103.0951,18928.987,141506.0,81.37,5.33,4.4,3.8,69.4
2023-09-01,16.193,103.3081,18928.987,132862.0,85.52,5.33,4.4,3.8,67.8
2023-10-01,15.799,102.5781,19170.154,128979.0,85.52,5.33,3.2,3.8,63.8
2023-11-01,15.945,102.8868,19170.154,123899.0,81.05,5.33,3.2,3.7,61.3
2023-12-01,16.386,102.6309,19170.154,130175.0,73.7,5.33,3.2,3.7,69.7
2024-01-01,15.513,101.483,19424.775,117947.0,73.7,5.33,1.6,3.7,79.0
2024-02-01,16.191,102.7267,19424.775,126296.0,74.36,5.33,1.6,3.9,76.9
2024-03-01,16.186,102.5186,19424.775,140527.0,80.9,5.33,1.6,3.8,79.4
2024-04-01,16.57,102.3568,19682.699,138710.0,84.54,5.33,3.0,3.9,77.2
2024-05-01,16.373,102.9797,19682.699,144864.0,80.7,5.33,3.0,4.0,69.1
2024-06-01,15.471,103.2768,19682.699,130624.0,80.7,5.33,3.0,4.1,68.2
2024-07-01,16.373,102.5381,19935.205,140356.0,84.7,5.33,2.8,4.3,66.4
2024-08-01,15.824,103.0449,19935.205,143437.0,77.74,5.33,2.8,4.2,67.9
2024-09-01,16.244,102.5497,19935.205,128281.0,77.74,5.33,2.8,4.1,70.1
2024-10-01,16.244,102.2805,19935.205,128281.0,70.41,4.83,2.8,4.1,70.5
2022-01-03,16.244,102.2805,19935.205,128281.0,75.99,0.08,2.8,4.1,70.5
2022-01-04,16.244,102.2805,19935.205,128281.0,77.0,0.08,2.8,4.1,70.5
2022-01-05,16.244,102.2805,19935.205,128281.0,77.83,0.08,2.8,4.1,70.5
2022-01-06,16.244,102.2805,19935.205,128281.0,79.47,0.08,2.8,4.1,70.5
2022-01-07,16.244,102.2805,19935.205,128281.0,79.0,0.08,2.8,4.1,70.5
2022-01-10,16.244,102.2805,19935.205,128281.0,78.11,0.08,2.8,4.1,70.5
2022-01-11,16.244,102.2805,19935.205,128281.0,81.17,0.08,2.8,4.1,70.5
2022-01-12,16.244,102.2805,19935.205,128281.0,82.51,0.08,2.8,4.1,70.5
2022-01-13,16.244,102.2805,19935.205,128281.0,81.97,0.08,2.8,4.1,70.5
2022-01-14,16.244,102.2805,19935.205,128281.0,83.82,0.08,2.8,4.1,70.5
2022-01-17,16.244,102.2805,19935.205,128281.0,83.82,0.08,2.8,4.1,70.5
2022-01-18,16.244,102.2805,19935.205,128281.0,85.42,0.08,2.8,4.1,70.5
2022-01-19,16.244,102.2805,19935.205,128281.0,86.84,0.08,2.8,4.1,70.5
2022-01-20,16.244,102.2805,19935.205,128281.0,86.29,0.08,2.8,4.1,70.5
2022-01-21,16.244,102.2805,19935.205,128281.0,85.16,0.08,2.8,4.1,70.5
2022-01-24,16.244,102.2805,19935.205,128281.0,84.48,0.08,2.8,4.1,70.5
2022-01-25,16.244,102.2805,19935.205,128281.0,86.61,0.08,2.8,4.1,70.5
2022-01-26,16.244,102.2805,19935.205,128281.0,88.33,0.08,2.8,4.1,70.5
2022-01-27,16.244,102.2805,19935.205,128281.0,87.61,0.08,2.8,4.1,70.5
2022-01-28,16.244,102.2805,19935.205,128281.0,87.67,0.08,2.8,4.1,70.5
2022-01-31,16.244,102.2805,19935.205,128281.0,89.16,0.08,2.8,4.1,70.5
2022-02-02,16.244,102.2805,19935.205,128281.0,88.16,0.08,2.8,4.1,70.5
