Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2022-01-01,290.416,4.0,0.07,-1.0,67.2,21566.1
2022-02-01,305.959,3.8,0.08,-1.0,62.8,21621.0
2022-03-01,366.499,3.6,0.08,-1.0,59.4,21722.8
2022-04-01,362.802,3.7,0.33,0.3,65.2,21723.2
2022-05-01,391.262,3.6,0.33,0.3,58.4,21696.6
2022-06-01,430.142,3.6,0.83,0.3,50.0,21652.4
2022-07-01,396.952,3.5,1.58,2.7,51.5,21644.5
2022-08-01,348.593,3.6,2.33,2.7,58.2,21626.7
2022-09-01,328.918,3.5,2.33,2.7,58.6,21507.7
2022-10-01,339.017,3.6,3.08,3.4,59.9,21433.4
2022-11-01,326.649,3.6,3.08,3.4,56.7,21367.1
2022-12-01,285.757,3.5,3.83,3.4,59.8,21273.1
2023-01-01,294.759,3.4,4.33,2.8,64.9,21188.2
2023-02-01,299.774,3.6,4.33,2.8,66.9,21117.7
2023-03-01,302.673,3.5,4.58,2.8,62.0,20870.6
2023-04-01,318.482,3.4,4.83,2.4,63.7,20712.2
2023-05-01,314.116,3.7,4.83,2.4,59.0,20804.8
2023-06-01,316.258,3.6,5.08,2.4,64.2,20788.5
2023-07-01,318.071,3.5,5.08,4.4,71.5,20762.6
2023-08-01,336.979,3.8,5.33,4.4,69.4,20735.0
2023-09-01,338.893,3.8,5.33,4.4,67.8,20681.4
2023-10-01,320.999,3.8,5.33,3.2,63.8,20662.5
2023-11-01,297.598,3.7,5.33,3.2,61.3,20675.7
2023-12-01,280.289,3.7,5.33,3.2,69.7,20725.4
2024-01-01,276.003,3.7,5.33,1.6,79.0,20725.9
2024-02-01,287.943,3.9,5.33,1.6,76.9,20761.8
2024-03-01,306.513,3.8,5.33,1.6,79.4,20862.9
2024-04-01,322.434,3.9,5.33,3.0,77.2,20881.1
2024-05-01,320.981,4.0,5.33,3.0,69.1,20959.4
2024-06-01,308.475,4.1,5.33,3.0,68.2,21020.1
2024-07-01,310.915,4.3,5.33,2.8,66.4,21039.4
2024-08-01,302.419,4.2,5.33,2.8,67.9,21141.2
2024-09-01,287.102,4.1,5.33,2.8,70.1,21221.2
2024-10-01,281.741,4.1,4.83,2.8,70.5,21221.2
2022-01-02,281.741,4.1,0.07,2.8,70.5,21221.2
2022-01-03,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-04,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-05,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-06,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-07,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-08,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-09,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-10,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-11,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-12,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-13,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-14,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-15,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-16,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-17,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-18,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-19,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-20,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-21,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-22,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-23,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-24,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-25,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-26,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-27,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-28,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-29,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-30,281.741,4.1,0.08,2.8,70.5,21221.2
2022-01-31,281.741,4.1,0.08,2.8,70.5,21221.2
2022-02-02,281.741,4.1,0.08,2.8,70.5,21221.2
2022-02-03,281.741,4.1,0.08,2.8,70.5,21221.2
2022-02-04,281.741,4.1,0.08,2.8,70.5,21221.2
2022-02-05,281.741,4.1,0.08,2.8,70.5,21221.2
