Date,consumer_spending,retail_sales,import_prices,unemployment_rate,consumer_sentiment,crude_oil_prices,interest_rate,global_trade_volume,gdp_growth
2022-04-01,17603.753,673245.0,147.5,3.7,65.2,99.32,0.33,11347.405351,0.3
2022-07-01,17876.234,671067.0,146.4,3.5,51.5,110.3,1.58,12397.670112,2.7
2022-10-01,18108.27,681748.0,142.7,3.6,59.9,110.3,3.08,15700.29175,3.4
2023-01-01,18506.211,693826.0,141.3,3.4,64.9,110.3,4.33,13042.49124,2.8
2023-04-01,18685.724,683698.0,140.3,3.4,63.7,110.3,4.83,13060.722188,2.4
2023-07-01,18928.987,690641.0,139.4,3.5,71.5,110.3,5.08,10784.354153,4.4
2023-10-01,19170.154,698956.0,140.1,3.8,63.8,110.3,5.33,15815.097225,3.2
2024-01-01,19424.775,695631.0,139.4,3.7,79.0,110.3,5.33,12073.074103,1.6
2024-04-01,19682.699,702681.0,141.7,3.9,77.2,84.54,5.33,11520.657819,3.0
2024-07-01,19935.205,710851.0,141.8,4.3,66.4,84.7,5.33,10712.927833,2.8
2022-02-01,19935.205,650522.0,142.6,3.8,62.8,88.22,0.08,11613.27512,2.8
2022-03-01,19935.205,664167.0,146.8,3.6,59.4,103.66,0.08,13619.382074,2.8
2022-05-01,19935.205,671040.0,148.2,3.6,58.4,103.66,0.33,12304.543146,2.8
2022-06-01,19935.205,675702.0,148.5,3.6,50.0,115.26,0.83,11590.948434,2.8
2022-08-01,19935.205,675107.0,144.6,3.6,58.2,96.59,2.33,12875.39317,2.8
2022-09-01,19935.205,673312.0,143.1,3.5,58.6,87.09,2.33,11870.389024,2.8
2022-11-01,19935.205,673674.0,141.6,3.6,56.7,88.36,3.08,15785.77438,2.8
2022-12-01,19935.205,666734.0,141.8,3.5,59.8,81.06,3.83,13612.177365,2.8
2023-02-01,19935.205,686434.0,141.0,3.6,66.9,76.34,4.33,11791.056613,2.8
2023-03-01,19935.205,679067.0,139.9,3.5,62.0,77.57,4.58,13911.74047,2.8
2023-05-01,19935.205,686672.0,139.7,3.7,59.0,75.65,4.83,10699.595345,2.8
2023-06-01,19935.205,688810.0,139.4,3.6,64.2,70.09,5.08,10149.544065,2.8
2023-08-01,19935.205,696238.0,140.3,3.8,69.4,81.37,5.33,10764.79564,2.8
2023-09-01,19935.205,702109.0,141.0,3.8,67.8,85.52,5.33,11795.553527,2.8
2023-11-01,19935.205,700707.0,139.4,3.7,61.3,81.05,5.33,13883.413228,2.8
2023-12-01,19935.205,703256.0,138.4,3.7,69.7,73.7,5.33,12079.403799,2.8
2024-02-01,19935.205,700519.0,139.7,3.9,76.9,74.36,5.33,12010.927364,2.8
2024-03-01,19935.205,703738.0,140.5,3.8,79.4,80.9,5.33,12771.737271,2.8
2024-05-01,19935.205,704309.0,141.5,4.0,69.1,80.7,5.33,11061.430495,2.8
2024-06-01,19935.205,702350.0,141.6,4.1,68.2,80.7,5.33,11319.032104,2.8
2024-08-01,19935.205,710038.0,141.4,4.2,67.9,77.74,5.33,11974.652433,2.8
2024-09-01,19935.205,716026.0,140.8,4.1,70.1,77.74,5.33,11263.243289,2.8
2024-10-01,19935.205,718867.0,141.2,4.1,70.5,70.41,4.83,11263.243289,2.8
2022-01-03,19935.205,718867.0,141.2,4.1,70.5,75.99,0.08,11263.243289,2.8
2022-01-04,19935.205,718867.0,141.2,4.1,70.5,77.0,0.08,11263.243289,2.8
2022-01-05,19935.205,718867.0,141.2,4.1,70.5,77.83,0.08,11263.243289,2.8
2022-01-06,19935.205,718867.0,141.2,4.1,70.5,79.47,0.08,11263.243289,2.8
2022-01-07,19935.205,718867.0,141.2,4.1,70.5,79.0,0.08,11263.243289,2.8
2022-01-10,19935.205,718867.0,141.2,4.1,70.5,78.11,0.08,11263.243289,2.8
2022-01-11,19935.205,718867.0,141.2,4.1,70.5,81.17,0.08,11263.243289,2.8
2022-01-12,19935.205,718867.0,141.2,4.1,70.5,82.51,0.08,11263.243289,2.8
2022-01-13,19935.205,718867.0,141.2,4.1,70.5,81.97,0.08,11263.243289,2.8
2022-01-14,19935.205,718867.0,141.2,4.1,70.5,83.82,0.08,11263.243289,2.8
2022-01-17,19935.205,718867.0,141.2,4.1,70.5,83.82,0.08,11263.243289,2.8
2022-01-18,19935.205,718867.0,141.2,4.1,70.5,85.42,0.08,11263.243289,2.8
2022-01-19,19935.205,718867.0,141.2,4.1,70.5,86.84,0.08,11263.243289,2.8
2022-01-20,19935.205,718867.0,141.2,4.1,70.5,86.29,0.08,11263.243289,2.8
2022-01-21,19935.205,718867.0,141.2,4.1,70.5,85.16,0.08,11263.243289,2.8
2022-01-24,19935.205,718867.0,141.2,4.1,70.5,84.48,0.08,11263.243289,2.8
2022-01-25,19935.205,718867.0,141.2,4.1,70.5,86.61,0.08,11263.243289,2.8
2022-01-26,19935.205,718867.0,141.2,4.1,70.5,88.33,0.08,11263.243289,2.8
2022-01-27,19935.205,718867.0,141.2,4.1,70.5,87.61,0.08,11263.243289,2.8
2022-01-28,19935.205,718867.0,141.2,4.1,70.5,87.67,0.08,11263.243289,2.8
2022-01-31,19935.205,718867.0,141.2,4.1,70.5,89.16,0.08,11263.243289,2.8
2022-02-02,19935.205,718867.0,141.2,4.1,70.5,88.16,0.08,11263.243289,2.8
2022-02-03,19935.205,718867.0,141.2,4.1,70.5,90.17,0.08,11263.243289,2.8
2022-02-04,19935.205,718867.0,141.2,4.1,70.5,92.27,0.08,11263.243289,2.8
2022-02-07,19935.205,718867.0,141.2,4.1,70.5,91.25,0.08,11263.243289,2.8
2022-02-08,19935.205,718867.0,141.2,4.1,70.5,89.32,0.08,11263.243289,2.8
2022-02-09,19935.205,718867.0,141.2,4.1,70.5,89.57,0.08,11263.243289,2.8
2022-02-10,19935.205,718867.0,141.2,4.1,70.5,89.83,0.08,11263.243289,2.8
2022-02-11,19935.205,718867.0,141.2,4.1,70.5,93.1,0.08,11263.243289,2.8
2022-02-14,19935.205,718867.0,141.2,4.1,70.5,95.52,0.08,11263.243289,2.8
2022-02-15,19935.205,718867.0,141.2,4.1,70.5,92.07,0.08,11263.243289,2.8
2022-02-16,19935.205,718867.0,141.2,4.1,70.5,93.83,0.08,11263.243289,2.8
2022-02-17,19935.205,718867.0,141.2,4.1,70.5,91.78,0.08,11263.243289,2.8
