Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-01-01,90228.0,11208.9,2566.259,0.07,-1.0,101.2146,21566.1,67.2
2022-02-01,84445.0,11326.3,2566.259,0.08,-1.0,101.8458,21621.0,62.8
2022-03-01,81335.0,11451.8,2566.259,0.08,-1.0,102.6732,21722.8,59.4
2022-04-01,84325.0,11545.6,2728.056,0.33,0.3,102.9024,21723.2,65.2
2022-05-01,81384.0,11627.6,2728.056,0.33,0.3,102.9659,21696.6,58.4
2022-06-01,77728.0,11724.9,2728.056,0.83,0.3,102.8224,21652.4,50.0
2022-07-01,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-08-01,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-09-01,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-10-01,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-11-01,81129.0,12129.0,2809.855,3.08,3.4,103.1058,21367.1,56.7
2022-12-01,84472.0,12226.5,2809.855,3.83,3.4,101.8266,21273.1,59.8
2023-01-01,85910.0,12361.7,2796.826,4.33,2.8,102.7476,21188.2,64.9
2023-02-01,80327.0,12420.1,2796.826,4.33,2.8,102.8003,21117.7,66.9
2023-03-01,86009.0,12482.5,2796.826,4.58,2.8,102.8143,20870.6,62.0
2023-04-01,88308.0,12541.4,2835.546,4.83,2.4,103.2241,20712.2,63.7
2023-05-01,91942.0,12591.0,2835.546,4.83,2.4,102.9809,20804.8,59.0
2023-06-01,99644.0,12660.3,2835.546,5.08,2.4,102.3809,20788.5,64.2
2023-07-01,90739.0,12740.9,2953.039,5.08,4.4,103.0722,20762.6,71.5
2023-08-01,88789.0,12766.4,2953.039,5.33,4.4,103.0951,20735.0,69.4
2023-09-01,96830.0,12835.9,2953.039,5.33,4.4,103.3081,20681.4,67.8
2023-10-01,86154.0,12903.9,3101.834,5.33,3.2,102.5781,20662.5,63.8
2023-11-01,107388.0,12995.1,3101.834,5.33,3.2,102.8868,20675.7,61.3
2023-12-01,95548.0,13087.2,3101.834,5.33,3.2,102.6309,20725.4,69.7
2024-01-01,82898.0,13192.6,3036.702,5.33,1.6,101.483,20725.9,79.0
2024-02-01,85806.0,13278.5,3036.702,5.33,1.6,102.7267,20761.8,76.9
2024-03-01,86859.0,13356.7,3036.702,5.33,1.6,102.5186,20862.9,79.4
2024-04-01,84376.0,13417.3,3141.557,5.33,3.0,102.3568,20881.1,77.2
2024-05-01,84064.0,13478.5,3141.557,5.33,3.0,102.9797,20959.4,69.1
2024-06-01,64880.0,13538.5,3141.557,5.33,3.0,103.2768,21020.1,68.2
2024-07-01,92146.0,13594.6,3141.557,5.33,2.8,102.5381,21039.4,66.4
2024-08-01,88059.0,13663.9,3141.557,5.33,2.8,103.0449,21141.2,67.9
2024-09-01,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2022-01-02,84180.0,13736.0,3141.557,0.07,2.8,102.5497,21221.2,70.1
2022-01-03,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-04,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-05,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-06,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-07,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-08,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-09,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-10,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-11,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-12,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-13,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-14,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-15,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-16,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-17,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-18,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-19,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-20,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-21,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-22,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-23,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-24,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-25,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-26,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-27,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-28,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-29,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-30,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-01-31,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-02,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-03,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-04,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-05,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-06,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-07,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-08,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-09,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-10,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-11,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-12,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-13,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-14,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-15,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-16,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-17,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-18,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-19,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-20,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-21,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-22,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-23,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-24,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-25,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-26,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-27,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-02-28,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-02,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-03,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-04,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-05,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-06,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-07,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-08,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-09,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-10,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-11,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-12,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-13,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-14,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-15,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-16,84180.0,13736.0,3141.557,0.08,2.8,102.5497,21221.2,70.1
2022-03-17,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-18,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-19,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-20,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-21,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-22,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-23,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-24,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-25,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-26,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-27,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-28,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-29,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-30,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-03-31,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-02,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-03,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-04,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-05,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-06,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-07,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-08,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-09,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-10,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-11,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-12,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-13,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-14,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-15,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-16,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-17,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-18,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-19,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-20,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-21,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-22,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-23,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-24,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-25,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-26,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-27,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-28,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-29,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-04-30,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-05-02,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-05-03,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-05-04,84180.0,13736.0,3141.557,0.33,2.8,102.5497,21221.2,70.1
2022-05-05,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-06,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-07,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-08,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-09,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-10,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-11,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-12,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-13,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-14,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-15,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-16,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-17,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-18,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-19,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-20,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-21,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-22,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-23,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-24,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-25,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-26,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-27,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-28,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-29,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
2022-05-30,84180.0,13736.0,3141.557,0.83,2.8,102.5497,21221.2,70.1
