Date,vehicle_sales,industrial_production,consumer_spending,retail_sales_vehicles,crude_oil_prices,interest_rate,gdp_growth,unemployment_rate,consumer_sentiment
2022-01-01,14.866,101.2146,17175.105,113333.0,75.99,0.07,-1.0,4.0,67.2
2022-01-02,14.866,101.2146,17175.105,113333.0,75.99,0.07,-1.0,4.0,67.2
2022-01-03,14.866,101.2146,17175.105,113333.0,75.99,0.08,-1.0,4.0,67.2
2022-01-04,14.866,101.2146,17175.105,113333.0,77.0,0.08,-1.0,4.0,67.2
2022-01-05,14.866,101.2146,17175.105,113333.0,77.83,0.08,-1.0,4.0,67.2
2022-01-06,14.866,101.2146,17175.105,113333.0,79.47,0.08,-1.0,4.0,67.2
2022-01-07,14.866,101.2146,17175.105,113333.0,79.0,0.08,-1.0,4.0,67.2
2022-01-08,14.866,101.2146,17175.105,113333.0,79.0,0.08,-1.0,4.0,67.2
2022-01-09,14.866,101.2146,17175.105,113333.0,79.0,0.08,-1.0,4.0,67.2
2022-01-10,14.866,101.2146,17175.105,113333.0,78.11,0.08,-1.0,4.0,67.2
2022-01-11,14.866,101.2146,17175.105,113333.0,81.17,0.08,-1.0,4.0,67.2
2022-01-12,14.866,101.2146,17175.105,113333.0,82.51,0.08,-1.0,4.0,67.2
2022-01-13,14.866,101.2146,17175.105,113333.0,81.97,0.08,-1.0,4.0,67.2
2022-01-14,14.866,101.2146,17175.105,113333.0,83.82,0.08,-1.0,4.0,67.2
2022-01-15,14.866,101.2146,17175.105,113333.0,83.82,0.08,-1.0,4.0,67.2
2022-01-16,14.866,101.2146,17175.105,113333.0,83.82,0.08,-1.0,4.0,67.2
2022-01-17,14.866,101.2146,17175.105,113333.0,83.82,0.08,-1.0,4.0,67.2
2022-01-18,14.866,101.2146,17175.105,113333.0,85.42,0.08,-1.0,4.0,67.2
2022-01-19,14.866,101.2146,17175.105,113333.0,86.84,0.08,-1.0,4.0,67.2
2022-01-20,14.866,101.2146,17175.105,113333.0,86.29,0.08,-1.0,4.0,67.2
2022-01-21,14.866,101.2146,17175.105,113333.0,85.16,0.08,-1.0,4.0,67.2
2022-01-22,14.866,101.2146,17175.105,113333.0,85.16,0.08,-1.0,4.0,67.2
2022-01-23,14.866,101.2146,17175.105,113333.0,85.16,0.08,-1.0,4.0,67.2
2022-01-24,14.866,101.2146,17175.105,113333.0,84.48,0.08,-1.0,4.0,67.2
2022-01-25,14.866,101.2146,17175.105,113333.0,86.61,0.08,-1.0,4.0,67.2
2022-01-26,14.866,101.2146,17175.105,113333.0,88.33,0.08,-1.0,4.0,67.2
