time_published,ticker_sentiment_score,ticker_sentiment_label
20220301T040322,-0.081275,Neutral
20220301T080000,-0.16739,Somewhat-Bearish
20220301T080000,-0.597032,Bearish
20220301T124807,-0.697767,Bearish
20220301T210525,-0.210833,Somewhat-Bearish
20220302T051423,-0.268518,Somewhat-Bearish
20220302T080000,-0.347387,Somewhat-Bearish
20220302T080000,0.002292,Neutral
20220302T080000,0.024455,Neutral
20220302T123812,-0.236466,Somewhat-Bearish
20220303T114519,0.087425,Neutral
20220303T210336,-0.244244,Somewhat-Bearish
20220304T020024,-0.068613,Neutral
20220304T053036,0.000136,Neutral
20220304T080000,0.005422,Neutral
20220304T080000,0.0117,Neutral
20220304T110027,-0.135551,Neutral
20220304T120006,0.163449,Somewhat-Bullish
20220304T134422,-0.229698,Somewhat-Bearish
20220304T144426,-0.269572,Somewhat-Bearish
20220304T151933,-0.039188,Neutral
20220304T155843,0.016502,Neutral
20220304T210241,-0.261443,Somewhat-Bearish
20220305T000000,-0.571846,Bearish
20220305T080000,-0.023847,Neutral
20220305T093005,-0.056127,Neutral
20220305T183926,0.013746,Neutral
20220305T191827,-0.292306,Somewhat-Bearish
20220306T000000,-0.362326,Bearish
20220306T110007,0.038613,Neutral
20220306T202828,-0.117943,Neutral
20220306T210001,0.000276,Neutral
20220307T000000,-0.783772,Bearish
20220307T110000,0.001861,Neutral
20220307T111311,-0.003151,Neutral
20220307T113100,0.005527,Neutral
20220307T124500,0.562768,Bullish
20220307T124500,0.562768,Bullish
20220307T133509,-0.240692,Somewhat-Bearish
20220307T135400,0.003622,Neutral
20220307T141400,0.182038,Somewhat-Bullish
20220307T142700,0.014238,Neutral
20220307T144300,-0.135596,Neutral
20220307T151451,-0.01955,Neutral
20220307T151700,0.283333,Somewhat-Bullish
20220307T153819,-0.046537,Neutral
20220307T160235,0.00016,Neutral
20220307T173217,-0.33507,Somewhat-Bearish
20220307T173217,-0.33507,Somewhat-Bearish
20220307T180327,-0.162172,Somewhat-Bearish
20220307T182100,0.001257,Neutral
20220307T190900,-0.154078,Somewhat-Bearish
20220307T200018,-0.098152,Neutral
20220307T203400,-0.121772,Neutral
20220307T215100,-0.150495,Somewhat-Bearish
20220307T224634,-0.305895,Somewhat-Bearish
20220307T232952,-0.116652,Neutral
20220307T232952,-0.125782,Neutral
20220307T232952,-0.101411,Neutral
20220308T003036,-0.004882,Neutral
20220308T020026,-0.451695,Bearish
20220308T020447,0.000977,Neutral
20220308T063100,0.000918,Neutral
20220308T080000,-0.049733,Neutral
20220308T080000,-0.331017,Somewhat-Bearish
20220308T110026,0.078069,Neutral
20220308T110041,0.12737,Neutral
20220308T110041,0.12737,Neutral
20220308T120000,0.003855,Neutral
20220308T120015,0.003855,Neutral
20220308T124330,-0.194139,Somewhat-Bearish
20220308T124643,0.026269,Neutral
20220308T140000,0.002168,Neutral
20220308T143005,0.080456,Neutral
20220308T150015,0.03303,Neutral
20220308T150835,-0.160633,Somewhat-Bearish
20220308T151146,-0.090243,Neutral
20220308T151730,9.7e-05,Neutral
20220308T152303,-0.051839,Neutral
