time_published,ticker_sentiment_score,ticker_sentiment_label
20220308T231500,0.004476,Neutral
20220308T231500,0.004299,Neutral
20220309T135700,0.099208,Neutral
20220314T131500,0.54153,Bullish
20220314T140200,0.282829,Somewhat-Bullish
20220314T185646,0.001004,Neutral
20220315T080000,0.020037,Neutral
20220315T115859,0.002327,Neutral
20220315T163235,-0.004009,Neutral
20220316T013037,0.992361,Bullish
20220316T200500,0.011145,Neutral
20220316T200500,0.011723,Neutral
20220318T140800,0.046432,Neutral
20220318T143000,0.040962,Neutral
20220320T192513,0.001004,Neutral
20220321T090000,0.000665,Neutral
20220321T112510,0.007328,Neutral
20220323T020023,0.298069,Somewhat-Bullish
20220325T171500,0.016119,Neutral
20220328T113641,-0.30552,Somewhat-Bearish
20220329T201000,0.229481,Somewhat-Bullish
20220401T202020,-0.299453,Somewhat-Bearish
20220401T203300,0.026667,Neutral
20220405T150301,0.028297,Neutral
20220405T152333,0.000972,Neutral
20220406T190834,0.054986,Neutral
20220407T120000,0.010317,Neutral
20220407T120000,-0.080829,Neutral
20220412T122500,0.173585,Somewhat-Bullish
20220413T132314,-0.430976,Bearish
20220413T141000,0.099332,Neutral
20220414T124400,0.081186,Neutral
20220415T135955,-0.025376,Neutral
20220418T093500,0.001102,Neutral
20220419T000000,0.01128,Neutral
20220420T141300,0.189817,Somewhat-Bullish
20220420T194442,0.000645,Neutral
20220421T130000,0.018276,Neutral
20220422T061500,-0.189023,Somewhat-Bearish
20220425T154010,0.095573,Neutral
20220425T160056,0.442965,Bullish
20220425T200457,-0.082267,Neutral
20220428T095500,0.102836,Neutral
20220428T125000,-0.260552,Somewhat-Bearish
20220428T193101,-0.260944,Somewhat-Bearish
20220429T171158,0.000122,Neutral
20220429T193542,0.121463,Neutral
20220502T122653,0.000296,Neutral
20220503T143900,0.051719,Neutral
20220503T201500,-0.079023,Neutral
20220504T162909,0.037105,Neutral
20220505T003036,0.099208,Neutral
20220505T084322,-0.000713,Neutral
20220505T112514,0.026445,Neutral
20220505T200500,0.094551,Neutral
20220505T202000,-0.025738,Neutral
20220505T214516,-0.072686,Neutral
20220506T101103,0.13684,Neutral
20220506T142200,0.078627,Neutral
20220506T145500,0.17359,Somewhat-Bullish
20220506T160048,-0.056007,Neutral
20220506T160650,-0.019739,Neutral
20220506T165057,-0.047858,Neutral
20220506T173701,0.04524,Neutral
20220506T203400,-0.755525,Bearish
20220506T203400,-0.755525,Bearish
20220509T102728,-0.000374,Neutral
20220509T113000,0.324633,Somewhat-Bullish
20220509T181311,-0.04289,Neutral
20220510T113000,0.00307,Neutral
20220511T053108,0.631905,Bullish
20220511T162815,-0.02254,Neutral
20220512T150000,0.304363,Somewhat-Bullish
20220512T152500,0.044204,Neutral
20220512T180500,-0.043484,Neutral
20220512T195600,0.131124,Neutral
20220513T143226,0.093798,Neutral
20220513T200000,0.347161,Somewhat-Bullish
20220517T020824,0.010413,Neutral
20220518T140000,0.001426,Neutral
20220520T100031,0.05932,Neutral
20220520T103000,0.000989,Neutral
20220520T162505,0.001046,Neutral
20220521T120000,0.925993,Bullish
20220523T082913,0.085976,Neutral
20220523T171908,0.001046,Neutral
20220524T133700,0.147144,Neutral
20220524T142157,0.006493,Neutral
20220525T065229,0.09188,Neutral
20220525T153400,0.016737,Neutral
20220525T163000,-0.106408,Neutral
20220526T063106,0.002479,Neutral
20220531T040001,0.046793,Neutral
20220531T143300,0.373364,Bullish
20220531T201700,-0.647522,Bearish
20220601T135600,0.068117,Neutral
20220601T135814,-0.249163,Somewhat-Bearish
20220601T152256,0.023614,Neutral
20220601T171423,0.052738,Neutral
20220602T162904,0.00318,Neutral
20220603T123006,0.027705,Neutral
20220603T154300,0.195286,Somewhat-Bullish
20220604T130000,0.192076,Somewhat-Bullish
20220606T113000,0.647728,Bullish
20220606T145012,0.240693,Somewhat-Bullish
20220607T120000,0.435063,Bullish
20220607T124200,-0.03462,Neutral
20220609T202100,0.13434,Neutral
20220609T211159,-0.050543,Neutral
20220610T114806,-0.017509,Neutral
20220610T155052,-0.037352,Neutral
20220610T161707,-0.389458,Bearish
20220610T180100,-0.10193,Neutral
20220613T161842,0.006692,Neutral
20220613T213202,0.053851,Neutral
20220613T221100,-0.101792,Neutral
20220616T113000,0.09223,Neutral
20220622T162200,0.015531,Neutral
20220624T072600,0.077528,Neutral
20220624T072651,0.077528,Neutral
20220624T170000,0.03682,Neutral
20220624T221510,0.00764,Neutral
20220629T163900,0.035777,Neutral
20220629T181356,0.054987,Neutral
20220708T210103,0.205481,Somewhat-Bullish
20220713T091300,0.0,Neutral
20220713T165000,0.089383,Neutral
20220714T080000,0.236951,Somewhat-Bullish
20220714T125400,0.150317,Somewhat-Bullish
20220714T145710,0.0,Neutral
20220714T150000,0.019949,Neutral
20220714T153410,0.387251,Bullish
20220714T202840,0.038115,Neutral
20220715T115200,0.047062,Neutral
20220715T123000,-0.080436,Neutral
20220715T181300,-0.104212,Neutral
20220716T124500,0.065495,Neutral
20220718T225642,0.232948,Somewhat-Bullish
20220719T095700,-0.074487,Neutral
20220719T165832,0.401961,Bullish
20220719T175100,0.013374,Neutral
20220721T130000,0.097559,Neutral
20220722T105900,0.200961,Somewhat-Bullish
20220722T193000,-0.105658,Neutral
20220724T070000,-0.048579,Neutral
20220725T134929,0.151176,Somewhat-Bullish
20220725T154010,0.59078,Bullish
20220725T161827,-0.048579,Neutral
20220726T221513,0.268978,Somewhat-Bullish
20220727T121200,0.021182,Neutral
20220727T131600,-0.239036,Somewhat-Bearish
20220727T150000,0.014751,Neutral
20220727T155000,0.325295,Somewhat-Bullish
20220728T141211,0.149513,Neutral
20220728T151500,-0.01406,Neutral
20220729T190800,0.191795,Somewhat-Bullish
20220801T092000,0.312011,Somewhat-Bullish
20220801T114647,0.142372,Neutral
20220801T130000,0.220287,Somewhat-Bullish
20220801T183257,0.387251,Bullish
20220801T215020,0.143928,Neutral
20220804T080029,-0.02717,Neutral
20220804T141147,-0.11308,Neutral
20220804T152004,0.0,Neutral
20220805T130006,0.213426,Somewhat-Bullish
20220805T142522,0.0,Neutral
20220806T143700,0.04675,Neutral
20220807T190000,0.0,Neutral
20220808T004000,0.0,Neutral
20220808T125621,0.0,Neutral
20220808T171810,0.0,Neutral
20220809T142246,0.0,Neutral
20220809T234509,0.103274,Neutral
20220810T090033,0.054269,Neutral
20220810T141643,0.0,Neutral
20220810T211600,0.424667,Bullish
20220811T081845,0.281305,Somewhat-Bullish
20220811T090939,0.0,Neutral
20220811T104000,0.0,Neutral
20220811T140424,0.272091,Somewhat-Bullish
20220811T144300,0.073195,Neutral
20220811T200500,0.072934,Neutral
20220811T203552,0.213282,Somewhat-Bullish
20220811T204900,0.030319,Neutral
20220811T205959,-0.43486,Bearish
20220811T212512,0.160738,Somewhat-Bullish
20220812T022800,-0.088067,Neutral
20220812T081128,0.088272,Neutral
20220812T092213,-0.056321,Neutral
20220812T100600,0.221181,Somewhat-Bullish
20220812T102352,-0.132772,Neutral
20220812T102353,-0.125941,Neutral
20220812T104900,-0.00327,Neutral
20220812T110014,-0.227486,Somewhat-Bearish
20220812T113409,-0.181389,Somewhat-Bearish
20220812T114455,0.200087,Somewhat-Bullish
20220812T115930,-0.145097,Neutral
20220812T121700,-0.023277,Neutral
20220812T123441,-0.224902,Somewhat-Bearish
20220812T140200,0.040721,Neutral
20220812T142000,-0.466069,Bearish
20220812T142107,-0.148057,Neutral
20220812T143147,0.052135,Neutral
20220812T143700,-0.237107,Somewhat-Bearish
20220812T164406,0.007273,Neutral
20220812T170200,-0.004115,Neutral
20220815T074324,-0.132334,Neutral
20220815T091711,-0.156495,Somewhat-Bearish
20220815T100000,0.057188,Neutral
20220815T132500,0.21366,Somewhat-Bullish
20220815T133400,0.320492,Somewhat-Bullish
20220815T135800,0.037212,Neutral
20220815T162459,-0.143314,Neutral
20220815T170200,-0.106645,Neutral
20220815T195426,0.313531,Somewhat-Bullish
20220816T132900,0.229332,Somewhat-Bullish
20220816T133900,0.100363,Neutral
20220816T164344,0.229804,Somewhat-Bullish
20220818T130006,0.178889,Somewhat-Bullish
20220818T145300,0.078925,Neutral
20220819T215000,-0.026996,Neutral
20220820T120000,0.137443,Neutral
20220822T123005,0.046004,Neutral
20220823T150010,0.0,Neutral
20220823T193500,0.113531,Neutral
20220825T092913,0.179583,Somewhat-Bullish
20220901T123759,0.312563,Somewhat-Bullish
20220901T123803,0.0,Neutral
20220901T130006,0.134973,Neutral
20220901T162800,0.08299,Neutral
20220901T170000,0.103721,Neutral
20220901T170800,-0.39082,Bearish
20220901T172100,-0.145652,Neutral
20220901T181900,-0.722031,Bearish
20220901T201110,0.387251,Bullish
20220901T205350,-0.237227,Somewhat-Bearish
20220902T101843,0.261631,Somewhat-Bullish
20220902T122158,-0.011244,Neutral
20220902T132000,0.019708,Neutral
20220902T145300,0.023154,Neutral
20220902T181643,-0.336376,Somewhat-Bearish
20220902T191500,0.012157,Neutral
20220902T210200,-0.030308,Neutral
20220902T211712,0.213566,Somewhat-Bullish
20220902T223857,0.202494,Somewhat-Bullish
20220905T114946,0.125531,Neutral
20220905T134300,-0.170832,Somewhat-Bearish
20220906T080300,0.0,Neutral
20220906T111400,0.040587,Neutral
20220906T112500,-0.084047,Neutral
20220906T115409,-0.252786,Somewhat-Bearish
20220906T122100,-0.06946,Neutral
20220906T123000,0.031096,Neutral
20220906T123718,0.0,Neutral
20220906T123718,0.0,Neutral
20220906T124807,-0.065911,Neutral
20220906T134232,-0.006396,Neutral
20220906T143100,-0.21063,Somewhat-Bearish
20220906T150300,0.004388,Neutral
20220906T151800,0.11201,Neutral
20220906T163445,0.22742,Somewhat-Bullish
20220906T174747,-0.065928,Neutral
20220906T223940,-0.026285,Neutral
20220907T121251,0.009025,Neutral
20220907T133300,0.459437,Bullish
20220907T161800,0.133338,Neutral
20220908T113000,-0.027026,Neutral
20220909T220005,0.343553,Somewhat-Bullish
20220913T140042,0.308422,Somewhat-Bullish
20220914T224511,0.107932,Neutral
20220915T150447,-0.111159,Neutral
20220915T155854,0.048681,Neutral
20220915T163200,0.032405,Neutral
20220915T200500,0.107778,Neutral
20220915T200500,0.10953,Neutral
20220916T220021,0.169566,Somewhat-Bullish
20220920T130200,-0.09442,Neutral
20220920T175300,-0.360804,Bearish
20220923T220006,0.24739,Somewhat-Bullish
20220928T043000,0.311772,Somewhat-Bullish
20220928T093057,-0.139,Neutral
20220928T124200,0.311772,Somewhat-Bullish
20220928T140000,0.012196,Neutral
20220928T165940,0.294338,Somewhat-Bullish
20220929T074548,0.309943,Somewhat-Bullish
20220929T161500,-0.263599,Somewhat-Bearish
20220929T163706,0.344644,Somewhat-Bullish
20220929T170000,0.170227,Somewhat-Bullish
20220929T171500,0.099428,Neutral
20220929T213935,0.058872,Neutral
20220930T010019,-0.021816,Neutral
20220930T220018,0.08636,Neutral
20221001T184300,0.174525,Somewhat-Bullish
20221002T190000,0.0,Neutral
20221002T224100,0.0,Neutral
20221003T051500,0.079804,Neutral
20221004T054241,0.150516,Somewhat-Bullish
20221004T054243,0.007119,Neutral
20221004T054244,0.262029,Somewhat-Bullish
20221004T054244,0.176453,Somewhat-Bullish
20221004T054441,0.159111,Somewhat-Bullish
20221004T054841,0.19234,Somewhat-Bullish
20221004T055641,0.083165,Neutral
20221004T055641,0.169067,Somewhat-Bullish
20221004T060841,0.040807,Neutral
20221004T060841,0.10042,Neutral
20221004T060842,0.133299,Neutral
20221004T060843,0.234697,Somewhat-Bullish
20221004T060844,0.063592,Neutral
20221004T060847,0.073293,Neutral
20221004T060847,0.156458,Somewhat-Bullish
20221004T060847,0.106472,Neutral
20221004T060848,0.104991,Neutral
20221004T060848,0.067928,Neutral
20221004T060848,0.278829,Somewhat-Bullish
20221004T060848,0.121399,Neutral
20221004T060848,0.118714,Neutral
20221004T060849,0.07879,Neutral
20221004T060849,0.088752,Neutral
20221004T060849,0.053621,Neutral
20221004T060850,0.203467,Somewhat-Bullish
