level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
0,0,2022-03-01,127.61528015136719,0.0,128.34877674760514,0.0,0.0,127.61528015136719,0.0,0.0,,,,,,,,,,-25.0
1,1,2022-03-02,130.95474243164062,0.02583167174519926,131.9778565518435,0.0,0.0,128.2224551114169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-33.33333333333333
2,2,2022-03-03,129.3043212890625,-0.012683080027189948,128.18702573880915,0.0,0.0,128.419158052807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-33.33333333333333
3,3,2022-03-04,126.9004135131836,-0.018766072571596307,126.72628824200213,0.0,0.0,128.1430226819664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-50.0
4,4,2022-03-07,120.38030242919922,-0.05274671488594177,121.15419355602317,0.0,0.0,126.73161899964508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-11.764705882352938
5,5,2022-03-08,117.25566864013672,-0.02629916563551474,123.22436741223657,0.0,0.0,125.00871893427991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-18.96551724137931
6,6,2022-03-09,122.80839538574219,0.04626862694087304,119.97399069434789,0.0,0.0,124.60866010727304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-9.677419354838706
7,7,2022-03-10,121.91841888427734,-0.007273256324185224,122.86645361845122,0.0,0.0,124.11952533945563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-7.142857142857141
8,8,2022-03-11,118.62934112548828,-0.027348271757236517,117.56522968439229,0.0,0.0,123.1213100278252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-35.71428571428571
9,9,2022-03-14,113.73442077636719,-0.04213776338476146,115.93036311494073,122.95013046264648,0.0,121.41460289119647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81740690892776,0.0,-26.666666666666668
