Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-01-01,90228.0,11208.9,2566.259,0.07,-1.0,101.2146,21566.1,67.2
2022-01-02,90228.0,11208.9,2566.259,0.07,-1.0,101.2146,21566.1,67.2
2022-01-03,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-04,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-05,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-06,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-07,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-08,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-09,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-10,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-11,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-12,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-13,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-14,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-15,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-16,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-17,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-18,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-19,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-20,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-21,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-22,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-23,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-24,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
2022-01-25,90228.0,11208.9,2566.259,0.08,-1.0,101.2146,21566.1,67.2
