level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,industrial_production_mom,m2_money_supply_mom,consumer_sentiment_mom,daily_sentiment_score
0,0,2022-03-01,72.9765853881836,0.0,73.39902071608748,0.0,0.0,72.9765853881836,0.0,0.0,,,,,,,,,
1,1,2022-03-02,75.15599060058594,0.029427186675242623,75.80886169089773,0.0,0.0,73.37284088134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2,2022-03-03,75.127197265625,-0.0003831877101102034,74.5703323843737,0.0,0.0,73.69181476939808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2022-03-04,73.43742370605469,-0.022748975114111444,73.24540893200519,0.0,0.0,73.64556184879018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
4,4,2022-03-07,71.3540267944336,-0.028779885908341855,70.8931754829682,0.0,0.0,73.22891911163444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2022-03-08,70.40353393554688,-0.01341031968108908,71.93007209476056,0.0,0.0,72.71521271598215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332
6,6,2022-03-09,73.06298065185547,0.037078357998012984,72.10290374668362,0.0,0.0,72.7784432497773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2022-03-10,73.59104919433594,0.007201586281587336,73.63904984471681,0.0,0.0,72.92618978515159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.526315789473683
8,8,2022-03-11,74.71435546875,0.015148844493499498,74.81035455464296,0.0,0.0,73.25131081853311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.962962962962962
9,9,2022-03-14,73.99427795410156,-0.00968448335546197,74.93517019403367,73.38174209594726,0.0,73.38639575227282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,2022-03-15,77.3833999633789,0.04478452156629259,77.76743246540222,73.82242355346679,0.0,74.11312379065575,0.02539367297537755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,2022-03-16,76.76893615722656,-0.007972205624915001,76.59612495648415,73.98371810913086,0.0,74.5959987663959,0.024266679206024964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
12,12,2022-03-17,77.3833999633789,0.007972205624914958,76.45211210359264,74.20933837890625,0.0,75.10279898402916,0.024314580308057467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,2022-03-18,78.42030334472656,0.013310578226696571,78.03627117893025,74.70762634277344,0.0,75.70598159506505,0.02269855095621944,65.44955826482804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,2022-03-21,77.72904205322266,-0.00885390592571166,78.20907220183938,75.34512786865234,0.0,76.07381076927552,0.019960512021713284,62.978488986971385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
15,15,2022-03-22,78.53550720214844,0.0103218844313661,78.00745747459541,76.1583251953125,0.0,76.52139193888878,0.018408946221030054,59.97729566094854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,2022-03-23,77.18177795410156,-0.017387451262835883,77.43141931062449,76.57020492553711,0.0,76.64146212347292,0.01786235371737764,55.62560632913614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,2022-03-24,78.95796203613281,0.0227521924070924,78.76593361467376,77.1068962097168,0.0,77.06264392577471,0.018686377859171998,65.04448550998242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
18,18,2022-03-25,78.46830749511719,-0.006220767620611725,78.47790056637047,77.48229141235352,0.0,77.31821912020061,0.018876857096422086,71.2320457864607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,2022-03-28,80.263671875,0.022622296450935553,81.11814761676082,78.10923080444336,0.0,77.85375598470958,0.018867596020261806,78.01412597889947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,2022-03-29,80.92613220214844,0.008219676930053708,80.60931785525497,78.46350402832032,0.0,78.41236984242573,0.01385177703655982,75.19994640384992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
