Date,interest_rate,unemployment_rate,cpi,gdp_growth,industrial_production,vehicle_sales,personal_consumption,retail_sales_auto,crude_oil_prices,sp500
2022-01-01,0.07,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,75.99,4796.56
2022-01-02,0.07,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,75.99,4796.56
2022-01-03,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,75.99,4796.56
2022-01-04,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,77.0,4793.54
2022-01-05,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,77.83,4700.58
2022-01-06,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,79.47,4696.05
2022-01-07,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,79.0,4677.03
2022-01-08,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,79.0,4677.03
2022-01-09,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,79.0,4677.03
2022-01-10,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,78.11,4670.29
2022-01-11,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,81.17,4713.07
2022-01-12,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,82.51,4726.35
2022-01-13,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,81.97,4659.03
2022-01-14,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,83.82,4662.85
2022-01-15,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,83.82,4662.85
2022-01-16,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,83.82,4662.85
2022-01-17,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,83.82,4662.85
2022-01-18,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,85.42,4577.11
2022-01-19,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,86.84,4532.76
2022-01-20,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,86.29,4482.73
2022-01-21,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,85.16,4397.94
2022-01-22,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,85.16,4397.94
2022-01-23,0.08,4.0,282.39,-1.0,101.2146,14.866,17017.8,113333.0,85.16,4397.94
