Variable,Importance,ticker
consumer_sentiment_mom,1.4346661522286013,crm
corporate_earnings_mom,0.38411180474213324,crm
gdp_growth_mom,0.24249692245211918,crm
rsi_14,0.19385393781703897,crm
industrial_production_mom,0.00417535645829048,crm
ma_30,0.0029604553565150127,crm
volatility_10,-0.03831115079810843,crm
daily_sentiment_score,-0.07265762475435622,crm
software_spending_mom,-0.10348914629139472,crm
interest_rate_mom,-0.16068391424778383,crm
business_investment_mom,-0.2595330106560141,crm
ma_10,-0.5384120833477937,crm
m2_money_supply_mom,-0.7936758101859596,crm
ema_10,-1.2798576756176772,crm
unemployment_rate_mom,-1.6311954670527484,crm
