Date,interest_rate,unemployment_rate,cpi,gdp_growth,industrial_production,personal_consumption,housing_starts,retail_sales,sp500,vix
2022-01-03,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4796.56,16.6
2022-01-04,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4793.54,16.91
2022-01-05,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4700.58,19.73
2022-01-06,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4696.05,19.61
2022-01-07,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4677.03,18.76
2022-01-08,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4677.03,18.76
2022-01-09,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4677.03,18.76
2022-01-10,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4670.29,19.4
2022-01-11,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4713.07,18.41
2022-01-12,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4726.35,17.62
2022-01-13,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4659.03,20.31
2022-01-14,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4662.85,19.19
2022-01-15,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4662.85,19.19
2022-01-16,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4662.85,19.19
2022-01-17,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4662.85,19.19
2022-01-18,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4577.11,22.79
2022-01-19,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4532.76,23.85
2022-01-20,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4482.73,25.59
2022-01-21,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4397.94,28.85
2022-01-22,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4397.94,28.85
2022-01-23,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4397.94,28.85
2022-01-24,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4410.13,29.9
2022-01-25,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4356.45,31.16
2022-01-26,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4349.93,31.96
2022-01-27,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4326.51,30.49
2022-01-28,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4431.85,27.66
2022-01-29,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4431.85,27.66
2022-01-30,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4431.85,27.66
2022-01-31,0.08,4.0,282.39,-1.0,101.2146,17017.8,1712.0,644034.0,4515.55,24.83
2022-02-01,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4546.54,21.96
2022-02-02,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4589.38,22.09
2022-02-03,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4477.44,24.35
2022-02-04,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4500.53,23.22
2022-02-05,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4500.53,23.22
2022-02-06,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4500.53,23.22
2022-02-07,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4483.87,22.86
2022-02-08,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4521.54,21.44
2022-02-09,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4587.18,19.96
2022-02-10,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4504.08,23.91
2022-02-11,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4418.64,27.36
2022-02-12,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4418.64,27.36
2022-02-13,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4418.64,27.36
2022-02-14,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4401.67,28.33
2022-02-15,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4471.07,25.7
2022-02-16,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4475.01,24.29
2022-02-17,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4380.26,28.11
2022-02-18,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4348.87,27.75
2022-02-19,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4348.87,27.75
2022-02-20,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4348.87,27.75
2022-02-21,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4348.87,27.75
2022-02-22,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4304.76,28.81
2022-02-23,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4225.5,31.02
2022-02-24,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4288.7,30.32
2022-02-25,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4384.65,27.59
2022-02-26,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4384.65,27.59
2022-02-27,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4384.65,27.59
2022-02-28,0.08,3.8,284.535,-1.0,101.8458,17136.1,1742.0,650522.0,4373.94,30.15
2022-03-01,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4306.26,33.32
2022-03-02,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4386.54,30.74
2022-03-03,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4363.49,30.48
2022-03-04,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4328.87,31.98
2022-03-05,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4328.87,31.98
2022-03-06,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4328.87,31.98
2022-03-07,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4201.09,36.45
2022-03-08,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4170.7,35.13
2022-03-09,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4277.88,32.45
2022-03-10,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4259.52,30.23
2022-03-11,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4204.31,30.75
2022-03-12,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4204.31,30.75
2022-03-13,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4204.31,30.75
2022-03-14,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4173.11,31.77
2022-03-15,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4262.45,29.83
2022-03-16,0.08,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4357.86,26.67
2022-03-17,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4411.67,25.67
2022-03-18,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4463.12,23.87
2022-03-19,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4463.12,23.87
2022-03-20,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4463.12,23.87
2022-03-21,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4461.18,23.53
2022-03-22,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4511.61,22.94
2022-03-23,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4456.24,23.57
2022-03-24,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4520.16,21.67
2022-03-25,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4543.06,20.81
2022-03-26,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4543.06,20.81
2022-03-27,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4543.06,20.81
2022-03-28,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4575.52,19.63
2022-03-29,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4631.6,18.9
2022-03-30,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4602.45,19.33
2022-03-31,0.33,3.6,287.553,-1.0,102.6732,17371.4,1678.0,664167.0,4530.41,20.56
2022-04-01,0.33,3.7,288.764,0.3,102.9024,17493.8,1828.0,673245.0,4545.86,19.63
