time_published,ticker_sentiment_score,ticker_sentiment_label
20220303T080000,0.156413,Somewhat-Bullish
20220303T201500,0.103474,Neutral
20220304T102419,0.243057,Somewhat-Bullish
20220304T130339,0.008394,Neutral
20220304T151933,-0.541507,Bearish
20220304T161100,-0.00665,Neutral
20220304T210241,-0.009571,Neutral
20220307T144800,-0.000413,Neutral
20220307T153600,0.119989,Neutral
20220307T200800,-0.258612,Somewhat-Bearish
20220307T231900,0.066277,Neutral
20220308T133200,0.033777,Neutral
20220308T160000,0.008823,Neutral
20220308T181454,-0.056471,Neutral
20220309T010044,-0.095319,Neutral
20220309T105100,0.226258,Somewhat-Bullish
20220309T112009,0.00208,Neutral
20220309T120500,0.092234,Neutral
20220309T120605,0.021381,Neutral
20220309T123128,-0.088292,Neutral
20220309T142300,0.374075,Bullish
20220309T200110,0.077773,Neutral
20220309T224500,0.055817,Neutral
20220309T224500,0.053532,Neutral
20220310T080000,0.204051,Somewhat-Bullish
20220310T150900,0.042656,Neutral
20220310T151700,0.069475,Neutral
20220310T152700,-0.025355,Neutral
20220310T162008,0.56159,Bullish
20220310T195436,-0.032618,Neutral
20220311T141700,0.044391,Neutral
20220311T143900,0.059006,Neutral
20220311T145200,0.068003,Neutral
20220311T150000,0.029709,Neutral
20220311T151700,0.044391,Neutral
20220311T212214,-0.016939,Neutral
20220314T110000,-0.158532,Somewhat-Bearish
20220314T130500,0.059331,Neutral
20220314T180141,-0.014245,Neutral
20220315T083209,0.269084,Somewhat-Bullish
20220315T103339,0.000295,Neutral
20220315T115000,0.138212,Neutral
20220315T180800,-0.499618,Bearish
20220316T080000,0.251137,Somewhat-Bullish
20220316T080000,0.256851,Somewhat-Bullish
20220316T103740,0.000587,Neutral
20220316T110000,0.036482,Neutral
20220316T130000,0.260918,Somewhat-Bullish
20220316T132300,0.0924,Neutral
20220316T135800,0.085937,Neutral
20220316T140007,0.096198,Neutral
20220316T141014,-0.213158,Somewhat-Bearish
20220316T151000,0.251137,Somewhat-Bullish
20220316T184420,0.61574,Bullish
20220316T211900,0.003011,Neutral
20220317T141500,0.126992,Neutral
20220317T144900,0.090045,Neutral
20220317T160020,0.038618,Neutral
20220317T160424,0.000867,Neutral
20220317T160424,0.000867,Neutral
20220317T203311,0.017679,Neutral
