Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-02-01,94.4255,101.8458,11613.27512,88.22,0.08,-1.0,21621.0,96.944,62.8
2022-03-01,101.3241,102.6732,13619.382074,103.66,0.08,-1.0,21722.8,99.027,59.4
2022-04-01,101.6496,102.9024,11347.405351,99.32,0.33,0.3,21723.2,99.125,65.2
2022-05-01,100.6122,102.9659,12304.543146,99.32,0.33,0.3,21696.6,99.325,58.4
2022-06-01,100.5907,102.8224,11590.948434,115.26,0.83,0.3,21652.4,98.655,50.0
2022-07-01,102.0768,103.0505,12397.670112,110.3,1.58,2.7,21644.5,100.452,51.5
2022-08-01,102.9376,103.1703,12875.39317,96.59,2.33,2.7,21626.7,99.796,58.2
2022-09-01,103.1393,103.5326,11870.389024,87.09,2.33,2.7,21507.7,97.862,58.6
2022-10-01,105.0235,103.4442,15700.29175,87.09,3.08,3.4,21433.4,97.379,59.9
2022-11-01,102.5644,103.1058,15785.77438,88.36,3.08,3.4,21367.1,94.12,56.7
2022-12-01,101.9627,101.8266,13612.177365,81.06,3.83,3.4,21273.1,97.494,59.8
2023-01-01,103.338,102.7476,13042.49124,81.06,4.33,2.8,21188.2,99.334,64.9
2023-02-01,103.7451,102.8003,11791.056613,76.34,4.33,2.8,21117.7,100.0,66.9
2023-03-01,102.1072,102.8143,13911.74047,77.57,4.58,2.8,20870.6,99.86,62.0
2023-04-01,109.3759,103.2241,13060.722188,77.57,4.83,2.4,20712.2,99.716,63.7
2023-05-01,110.7094,102.9809,10699.595345,75.65,4.83,2.4,20804.8,97.222,59.0
2023-06-01,107.0514,102.3809,10149.544065,70.09,5.08,2.4,20788.5,94.714,64.2
2023-07-01,111.6321,103.0722,10784.354153,70.09,5.08,4.4,20762.6,94.622,71.5
2023-08-01,107.4614,103.0951,10764.79564,81.37,5.33,4.4,20735.0,97.87,69.4
2023-09-01,107.219,103.3081,11795.553527,85.52,5.33,4.4,20681.4,97.397,67.8
2023-10-01,98.5911,102.5781,15815.097225,85.52,5.33,3.2,20662.5,96.973,63.8
2023-11-01,107.2618,102.8868,13883.413228,81.05,5.33,3.2,20675.7,96.827,61.3
2023-12-01,108.6938,102.6309,12079.403799,73.7,5.33,3.2,20725.4,98.576,69.7
2024-01-01,102.2729,101.483,12073.074103,73.7,5.33,1.6,20725.9,98.635,79.0
2024-02-01,108.1696,102.7267,12010.927364,74.36,5.33,1.6,20761.8,98.344,76.9
2024-03-01,110.4333,102.5186,12771.737271,80.9,5.33,1.6,20862.9,97.929,79.4
2024-04-01,108.1696,102.3568,11520.657819,84.54,5.33,3.0,20881.1,98.958,77.2
